Device_ID,Video_ID,Duration_Watched (minutes),Genre,Country,Age,Gender,Subscription_Status,Ratings,Languages,Device_Type,Location,Playback_Quality,Interaction_Events
232,11,90.04452533,4,205,56,0,1,3,4,3,3855,0,73
549,85,68.97347929,1,54,52,1,1,3,0,0,4503,2,22
844,50,42.51134326,1,108,14,0,1,3,4,4,4656,1,41
201,38,53.31666005,2,117,36,1,1,2,4,1,950,2,40
700,31,69.43778589,0,17,31,1,1,4,3,1,2378,1,41
514,83,41.81091189,1,218,53,1,1,4,2,1,4574,2,76
1,85,63.97909893,0,91,10,0,0,2,1,1,306,1,26
73,63,78.33836562,1,89,28,0,0,1,2,0,4818,0,82
900,37,16.2610326,3,165,41,1,1,3,3,4,5084,2,79
581,71,29.37248654,3,61,40,1,0,4,3,3,3886,2,19
469,31,86.40363253,3,98,56,1,1,5,1,2,2989,2,52
897,29,35.29466034,2,47,58,0,0,2,1,3,2245,1,62
11,68,82.22350395,5,60,66,1,0,3,4,0,1123,2,63
121,53,11.54670816,1,78,57,1,0,3,2,4,1082,2,81
229,37,117.6401047,4,129,43,0,0,4,3,3,3633,2,78
450,40,75.25512391,5,217,67,1,0,5,3,1,863,1,27
126,90,19.97318177,4,101,46,1,0,1,2,1,4152,2,70
687,8,47.91976143,4,66,27,0,1,2,0,3,650,0,24
360,37,27.72695403,1,114,62,1,1,5,1,4,3902,2,47
301,21,103.0037381,2,119,42,0,1,5,1,2,2795,0,64
419,39,101.4767759,0,220,24,0,0,2,2,3,3869,1,99
910,55,107.9925775,3,187,64,1,1,1,4,4,3278,1,34
222,47,75.714735,3,19,68,0,0,4,4,1,3780,1,86
690,53,17.11980612,2,161,56,0,0,1,3,4,2864,2,50
320,90,84.00882766,3,109,66,1,1,1,3,3,702,0,55
792,46,7.118887891,2,158,41,0,0,3,1,2,3129,1,89
132,13,70.18055507,2,120,60,1,1,3,0,1,758,2,56
975,17,62.03761541,3,6,37,0,0,5,3,1,2667,1,83
566,24,55.35621468,0,178,58,1,1,2,2,0,2036,1,66
591,29,101.671632,1,226,45,0,1,3,4,1,4404,0,26
224,57,26.81577812,1,48,26,1,0,5,4,4,789,1,17
440,93,14.4282295,5,13,18,1,0,5,0,4,451,0,68
791,88,91.38085105,3,13,15,1,1,1,3,1,2719,1,11
362,100,101.8931322,0,169,25,1,0,5,3,0,1797,2,65
18,18,98.25151455,1,5,68,1,1,3,3,3,3371,2,40
657,24,5.80790045,3,171,43,0,1,4,2,1,722,0,81
167,49,97.92999356,5,36,15,1,0,5,1,3,1491,1,82
728,92,71.52714525,2,22,66,0,1,1,4,2,4809,2,62
411,82,84.36518312,5,240,32,0,1,1,2,1,1193,1,54
86,28,93.90541955,5,125,54,1,1,4,2,3,4005,1,1
568,49,41.22535202,2,101,31,1,1,4,0,3,1025,0,31
995,28,63.08457331,5,128,37,0,1,5,3,0,1201,2,52
958,33,71.25332246,3,93,14,0,1,2,0,3,3240,0,66
